vorname;anzahl;geschlecht
Ryan;2;m
Xenia;2;w
Salih;2;m
Zümra;2;w
Salim;2;m
Semih;2;m
Semin;2;m
Til;2;m
Viktor;2;m
Werner;2;m
Yasin;2;m
Abigail;1;w
Abigale;1;w
Ada;1;w
Adelisa;1;w
Adelya;1;w
Aenna;1;w
Aileen;1;w
;1;m
Ailyah;1;w
Abdel;1;m
Aisha;1;w
Abdullah;1;m
Alara;1;w
Abdurahman;1;m
Alea;1;w
Abishajan;1;m
Aleah-Maria;1;w
Ablaye;1;m
Alejna;1;w
Adin;1;m
Alesja;1;w
Adriano;1;m
Alessandra;1;w
Ahmetcan;1;m
Alessia;1;w
Aihan;1;m
Alex;1;w
Akay;1;m
Alexis;1;w
Akif;1;m
Alicia;1;w
Akram;1;m
Aline;1;w
Aleksander;1;m
Alisja;1;w
Alemtsehay;1;m
Aliya;1;w
Alex;1;m
Alya;1;w
Alexander-Lukas;1;m
Alysha;1;w
Alper;1;m
Amani;1;w
Amadeus;1;m
Amarachi;1;w
Amel;1;m
Amazea;1;w
Amet;1;m
Amelina;1;w
Amil;1;m
Amilia;1;w
Amir;1;m
Amiliya-Mina;1;w
Amon;1;m
Amy-Lee;1;w
Anakin;1;m
Anais;1;w
Andrés;1;m
Analena;1;w
Anh;1;m
Anastasia;1;w
Anil;1;m
Anaya;1;w
Anthony;1;m
Andrea;1;w
Antoni;1;m
Angelika;1;w
Aram;1;m
Angelina;1;w
Arda;1;m
Angélique;1;w
Aref;1;m
Ani;1;w
Argyrios;1;m
Anissa;1;w
Ari;1;m
Anja;1;w
Ariel;1;m
Ann;1;w
Ariyan;1;m
Anna-Maria;1;w
Arkadi;1;m
Annalena;1;w
Arne;1;m
Annelie;1;w
Aron;1;m
Annemarie;1;w
Arsalan;1;m
Annerose;1;w
Arthur;1;m
Anny;1;w
Aslambekovič;1;m
Anouk;1;w
Athavan;1;m
Anushta;1;w
Attila;1;m
Arbnora;1;w
Aurélio;1;m
Ariana;1;w
Aydin;1;m
Arin;1;w
Aykan;1;m
Arnesa;1;w
Aymen;1;m
Arzow;1;w
Bahadır;1;m
Asmae;1;w
Baran;1;m
Aurélie;1;w
Bartholomäus;1;m
Ava-Isabella;1;w
Basel;1;m
Ayla;1;w
Bashar;1;m
Ayleen;1;w
Bastian;1;m
Aylin;1;w
Benjamin;1;m
Azra;1;w
Bennet;1;m
Bea;1;w
Benyamin;1;m
Beate;1;w
Berken;1;m
Beatriz;1;w
Bernd;1;m
Belissa;1;w
Bo;1;m
Beren;1;w
Bogdan;1;m
Berra;1;w
Brian;1;m
Betania;1;w
Burak;1;m
Bismo;1;w
Bünyamin;1;m
Blessina;1;w
Calvin;1;m
Büsra;1;w
Cameron;1;m
Büşra;1;w
Caner;1;m
Cana;1;w
Carlo;1;m
Carina;1;w
Carlos;1;m
Carolin;1;w
Cem;1;m
Carolina;1;w
Chika;1;m
Catharina;1;w
Christof;1;m
Celia;1;w
Christoph;1;m
Cemre;1;w
Claas;1;m
Chanel;1;w
Connor;1;m
Charmaine;1;w
Constantin;1;m
Chatpailin;1;w
Coşkun;1;m
Chazal;1;w
Cristian;1;m
Chiara;1;w
Cyr;1;m
Chloé-Summer;1;w
Danien;1;m
Cilia-Jenna;1;w
Danijel;1;m
Claire;1;w
Danil;1;m
Cleo;1;w
Danilo;1;m
Coco;1;w
Danyiom;1;m
Codja;1;w
Daris;1;m
Cora;1;w
Daris-Aleksandar;1;m
Célia;1;w
Darius;1;m
Dalia;1;w
Darwin;1;m
Dana;1;w
Daven;1;m
Dania;1;w
Davud;1;m
Davilla;1;w
Dean;1;m
Daïmond;1;w
Deangelo;1;m
Deborah;1;w
Dello;1;m
Delina;1;w
Demien;1;m
Dilara-Amelie;1;w
Demir;1;m
Dilara-Nur;1;w
Demircan;1;m
Diona;1;w
Denniz;1;m
Diondra;1;w
Devrim;1;m
Divine;1;w
Diego;1;m
Djamilia;1;w
Dieter;1;m
Dorothea;1;w
Dion;1;m
Doğa;1;w
Diyar;1;m
Duaa;1;w
Dmitrij;1;m
Dunya;1;w
Duncan;1;m
Džana;1;w
Dylan;1;m
Ecrin;1;w
Efe;1;m
Edith;1;w
Ege;1;m
Ehgosa;1;w
Eichhard;1;m
Ejona;1;w
Elhadi;1;m
Elaina;1;w
Elia;1;m
Elaine;1;w
Elia-Kaan;1;m
Elda;1;w
Eliano;1;m
Eleonore;1;w
Elias-Luca;1;m
Eli;1;w
Elijah;1;m
Elida;1;w
Eliz;1;m
Elisa;1;w
Emanuel;1;m
Elisabetha;1;w
Emeric;1;m
Elise;1;w
Emilian;1;m
Elisha;1;w
Emirhan;1;m
Elizan;1;w
Enno;1;m
Ella-Isa;1;w
Enrico;1;m
Ellen;1;w
Enzo;1;m
Emelie;1;w
Erdmann;1;m
Emely;1;w
Eren;1;m
Emina;1;w
Erk;1;m
Emine;1;w
Erva;1;m
Emma-Sofie;1;w
Esri;1;m
Emma-Sophie;1;w
Esteban;1;m
Ena;1;w
Fadinur;1;m
Enesa;1;w
Faris;1;m
Enie;1;w
Fatih-Mehmet;1;m
Erni;1;w
Felicé;1;m
Erva;1;w
Felix-Maximilian;1;m
Esila;1;w
Fenrir;1;m
Esin;1;w
Fenris;1;m
Eslem-Saliha;1;w
Ferdinand;1;m
Esma;1;w
Ferhad;1;m
Esma-Nur;1;w
Fero;1;m
Esmeralda;1;w
Fiete;1;m
Esther;1;w
Finlay;1;m
Etiena;1;w
Fionn;1;m
Eva;1;w
Firas;1;m
Evelina;1;w
Flint;1;m
Evelyn;1;w
Florian-Alan;1;m
Ewa;1;w
Flynn;1;m
Eylül;1;w
Francesco;1;m
Eyşan;1;w
Franco;1;m
Fadime;1;w
Frank;1;m
Fanny;1;w
Franz;1;m
Farah;1;w
Fred;1;m
Fatima;1;w
Frederik;1;m
Fatıma;1;w
Friedrich;1;m
Fatjona;1;w
Fynn-Luca;1;m
Favour;1;w
Georgios;1;m
Fay;1;w
Gerome;1;m
Fee;1;w
Gerrit;1;m
Felice;1;w
Gianluca;1;m
Felicitas;1;w
Gino;1;m
Fenja;1;w
Giuseppe;1;m
Feroza;1;w
Godwill-Nosahare;1;m
Feyza;1;w
Gregor;1;m
Gabriela;1;w
Grischa;1;m
Gina;1;w
Gunter;1;m
Giuliana;1;w
Gördt;1;m
Gloria;1;w
Güney;1;m
Grace;1;w
Halil;1;m
Graziana;1;w
Hamza;1;m
Gwen;1;w
Harald;1;m
Gül;1;w
Haroun;1;m
Gülizar;1;w
Hayden;1;m
Hafsa;1;w
Heinz;1;m
Halise;1;w
Helge;1;m
Hamida;1;w
Henk;1;m
Hanife;1;w
Henning;1;m
Hanım;1;w
Herbert;1;m
Hanmsha;1;w
Hilal;1;m
Hatice;1;w
Hilmi;1;m
Hayley;1;w
Hisham;1;m
Heidi;1;w
Holger;1;m
Heike;1;w
Hristijan;1;m
Helene;1;w
Hubert;1;m
Helin;1;w
Hür;1;m
Hendrika;1;w
Hüseyin;1;m
Henriette;1;w
Ian;1;m
Hica;1;w
Ibrahim-Esved;1;m
Hidaya;1;w
Ibrahimov;1;m
Hiranur;1;w
Ibuchim;1;m
Holly;1;w
Ilay;1;m
Hope;1;w
Ilija;1;m
Ilaria;1;w
İmran;1;m
Ilay;1;w
İshâk;1;m
Ilenia;1;w
Ismail;1;m
Imuentinyanosa;1;w
Ismail-Ayaz;1;m
Ina;1;w
Ismailevič;1;m
Ingrid;1;w
Ismet;1;m
Inés;1;w
Iyas;1;m
Isranur;1;w
Izzettin;1;m
Izabel;1;w
Jackson;1;m
İzel;1;w
Jacob;1;m
Jade;1;w
Jaden;1;m
Jane;1;w
Jahn;1;m
Janina;1;w
Jake;1;m
Jarmila;1;w
Jamie;1;m
Jasmin;1;w
Janis;1;m
Jekaterina;1;w
Jannes;1;m
Jennifer;1;w
Jannic;1;m
Jessy;1;w
Jannick;1;m
Jill;1;w
Jarno;1;m
Jillian;1;w
Jasin;1;m
Jiyan;1;w
Jay;1;m
Jochebed;1;w
Jaydee;1;m
Jolee;1;w
Jean;1;m
Joleena;1;w
Jemain;1;m
Jolin;1;w
Jenis;1;m
Jolina;1;w
Jens;1;m
Joline;1;w
Jeremias;1;m
Jolyce;1;w
Jermaine;1;m
Jonna;1;w
Jerome;1;m
Josefin;1;w
Jing;1;m
Joseline;1;w
Joachim;1;m
Josie;1;w
Johan;1;m
Joy;1;w
John-Manasse;1;m
Joëlle;1;w
Jonah;1;m
Juliana;1;w
Jordan;1;m
Julie;1;w
Jordan-Lian;1;m
Julienne;1;w
Joris;1;m
Juljana;1;w
Joscha;1;m
July;1;w
Joshua-Leonardo;1;m
Julya;1;w
Josua;1;m
Juna;1;w
José;1;m
Kalben-Ayşe;1;w
Junior;1;m
Kalea;1;w
Jîyan;1;m
Kambinachi;1;w
Jürgen;1;m
Karin;1;w
Kalil;1;m
Karina;1;w
Kalle;1;m
Karlotta;1;w
Kamiran;1;m
Katherina;1;w
Kane;1;m
Katrin;1;w
Karam;1;m
Ketija;1;w
Karim;1;m
Kimberly;1;w
Karl;1;m
Klarissa;1;w
Kemal;1;m
Lamija;1;w
Kerim;1;m
Lana;1;w
Khan;1;m
Larisa;1;w
Kheder;1;m
Laureen;1;w
Kian;1;m
Lavinia;1;w
Kidus;1;m
Leandra;1;w
Kieran;1;m
Lee;1;w
Killyan-Louis;1;m
Leia;1;w
Kirat;1;m
Lenya;1;w
Kiyan;1;m
Leona;1;w
Klaas;1;m
Leyla;1;w
Klaudio;1;m
Leyla-Sophie;1;w
Koko;1;m
Liara;1;w
Kolja;1;m
Lilia;1;w
Koray;1;m
Lilian;1;w
Kubeys;1;m
Lilli;1;w
Lambert;1;m
Lily;1;w
Lars;1;m
Lina-Nur;1;w
Laurenz;1;m
Linnea;1;w
Laurin;1;m
Linya;1;w
Lauro;1;m
Livia;1;w
Lazar;1;m
Liya;1;w
Lennart;1;m
Liyana;1;w
Lenny;1;m
Liénne;1;w
Lenox;1;m
Loraine;1;w
Leopold;1;m
Loretta;1;w
Levent-Dennis;1;m
Louise;1;w
Liam-Finn;1;m
Luca;1;w
Lian;1;m
Lucie;1;w
Lijan;1;m
Lucy;1;w
Lino;1;m
Luiza;1;w
Lios;1;m
Luka;1;w
Lorent;1;m
Lulav;1;w
Lorenzo;1;m
Lumara;1;w
Lothar;1;m
Lynelle;1;w
Louan-Aimé;1;m
Madison;1;w
Luan;1;m
Madita;1;w
Luces;1;m
Madleen;1;w
Ludwig;1;m
Maite;1;w
Luesa;1;m
Maja;1;w
Luka;1;m
Malak;1;w
Luke;1;m
Malea;1;w
Lutz;1;m
Malija;1;w
Luuk;1;m
Malika;1;w
Lyam;1;m
Malina;1;w
Lyon;1;m
Mannat;1;w
Macit;1;m
Marcella;1;w
Madamed;1;m
Marei;1;w
Mahir;1;m
Margad;1;w
Maid;1;m
Mariann;1;w
Maikel;1;m
Maricella;1;w
Mailo;1;m
Marie-Estelí;1;w
Malek;1;m
Martha;1;w
Manuel;1;m
Marthe;1;w
Marcel;1;m
Massiel;1;w
Marcello;1;m
Matilde;1;w
Marek;1;m
Maximilia;1;w
Maria;1;m
Maxine;1;w
Marian;1;m
May;1;w
Mario;1;m
Maya-Maria;1;w
Mark;1;m
Maylin;1;w
Markus;1;m
Megan;1;w
Marlo;1;m
Melda;1;w
Marlon-Luca;1;m
Melek;1;w
Marshall;1;m
Melia-Sophie;1;w
Marvin;1;m
Meliha;1;w
Mason;1;m
Melika;1;w
Mateo;1;m
Melike;1;w
Matheo;1;m
Melisa;1;w
Mathis;1;m
Melodie;1;w
Mattheo;1;m
Merle;1;w
Matthew;1;m
Meryem;1;w
Maurice;1;m
Mey;1;w
Maxime;1;m
Mia-Marie;1;w
Medin;1;m
Mia-Marleen;1;w
Mehmed;1;m
Michonne;1;w
Mehmet;1;m
Mila-Lucia;1;w
Meldin;1;m
Miley;1;w
Melih;1;m
Milia;1;w
Melwin;1;m
Minel;1;w
Merdan;1;m
Mirella;1;w
Meris;1;m
Moreen;1;w
Merić;1;m
Morlin;1;w
Mert-Kazim;1;m
Müzeyyen;1;w
Michiel;1;m
Nadija;1;w
Mike;1;m
Nahla;1;w
Mike-Niclas;1;m
Nancy;1;w
Milaim;1;m
Narin;1;w
Milano;1;m
Natalie;1;w
Milian-Diego;1;m
Naya;1;w
Mirac;1;m
Nayla;1;w
Miran;1;m
Nazanin;1;w
Miran-Ihsan;1;m
Nazlı;1;w
Miraç;1;m
Neda-Su;1;w
Mitchell;1;m
Nehir;1;w
Mohan;1;m
Nejla;1;w
Muhammad;1;m
Nell;1;w
Muhsin;1;m
Nelly;1;w
Musa;1;m
Nermin;1;w
Mussa;1;m
Nikolina;1;w
Mustafa;1;m
Nilbera;1;w
Mylo;1;m
Nilda;1;w
Mücahid;1;m
Nilya;1;w
Nabil;1;m
Nirosch;1;w
Nael;1;m
Nisanur;1;w
Nail;1;m
Noelia;1;w
Naim;1;m
Noemie-Joleen;1;w
Nathan;1;m
Nojin;1;w
Nathanael;1;m
Noreen;1;w
Nedim;1;m
Nuala;1;w
Neri;1;m
Nûvîn;1;w
Nevio;1;m
Oana;1;w
Nhât;1;m
Olivana;1;w
Nicklas;1;m
Osaretin;1;w
Nicolai;1;m
Pamela;1;w
Nihad;1;m
Patricia;1;w
Nikias;1;m
Patrizia;1;w
Nikita;1;m
Paulina;1;w
Nikolai;1;m
Payton;1;w
Nizam;1;m
Pendo;1;w
Noé;1;m
Perla;1;w
Numan;1;m
Philipa;1;w
Nuriel;1;m
Pia-Leonie;1;w
Omer;1;m
Porsche;1;w
Onur;1;m
Preet;1;w
Orges;1;m
Preziosa;1;w
Orkun;1;m
Rabea;1;w
Oscar;1;m
Rahel;1;w
Pascal;1;m
Rengin;1;w
Pete;1;m
Rihan;1;w
Peter;1;m
River;1;w
Philip;1;m
Rodayna;1;w
Phillip-Joel;1;m
Ronja;1;w
Quentin;1;m
Rose;1;w
Rafael;1;m
Roza;1;w
Raffael;1;m
Runa;1;w
Raffele;1;m
Ružica;1;w
Raimund;1;m
Sabina;1;w
Ramazan;1;m
Sabrin;1;w
Ranko;1;m
Sahra;1;w
Raphael;1;m
Saliha;1;w
Rayyan;1;m
Samantha;1;w
Redzep;1;m
Sandra-Marie;1;w
Renaz;1;m
Sangita;1;w
Riad;1;m
Sarabi;1;w
Rijad;1;m
Sascha;1;w
Roger;1;m
Schilan;1;w
Ron;1;m
Sedina;1;w
Rory;1;m
Selina;1;w
Rüzgar;1;m
Selma;1;w
Sabareesh;1;m
Senna;1;w
Sait;1;m
Seyran;1;w
Salvatore;1;m
Sharlene;1;w
Samedhan;1;m
Shaya;1;w
Samet;1;m
Shila;1;w
Samir;1;m
Shyleen;1;w
Samuele;1;m
Sia;1;w
Sanel;1;m
Simanur;1;w
Savio;1;m
Simone;1;w
Sebahattin;1;m
Sinje;1;w
Sefa;1;m
Soey;1;w
Seti;1;m
Sofeea-Marie;1;w
Seymen;1;m
Solveig;1;w
Shujak;1;m
Songül;1;w
Sirac;1;m
Sophia-Mali;1;w
Soner;1;m
Soraya;1;w
Sri;1;m
Soé;1;w
Stamatios;1;m
Sue;1;w
Stefan;1;m
Sueda;1;w
Steven;1;m
Sultan;1;w
Sydney;1;m
Sun;1;w
Szymon;1;m
Suraya;1;w
Sükrüsirac;1;m
Svenja;1;w
Taha;1;m
Taja;1;w
Taha-Amin;1;m
Talea;1;w
Talay;1;m
Talia;1;w
Talha;1;m
Tamar;1;w
Tamino;1;m
Tamara;1;w
Tammo;1;m
Tammi;1;w
Tamás;1;m
Thalia;1;w
Tarik;1;m
Thea;1;w
Tarık;1;m
Tialda;1;w
Tayler;1;m
Tiana;1;w
Thiago;1;m
Tiara;1;w
Thilo;1;m
Tijen;1;w
Thomas;1;m
Tilda;1;w
Thommy;1;m
Timea;1;w
Thorben;1;m
Tochukwu;1;w
Thore;1;m
Tuba;1;w
Thorin;1;m
Uchechi;1;w
Tiago;1;m
Usubailor;1;w
Tilo;1;m
Veldina;1;w
Tim-Luca;1;m
Vera;1;w
Timm;1;m
Veronica;1;w
Timucin;1;m
Wera;1;w
Timur;1;m
Wiktoria;1;w
Titus;1;m
Xhyla;1;w
Toni;1;m
Yaren;1;w
Toprak;1;m
Yasmin;1;w
Tristan;1;m
Yoko;1;w
Tuğra;1;m
Yusra;1;w
Tyson;1;m
Yvonne;1;w
Ukshin;1;m
Yüsra;1;w
Umeyr;1;m
Zahide;1;w
Umut;1;m
Zara;1;w
Vahdi;1;m
Zaynab;1;w
Valdrin;1;m
Zazai;1;w
Valeriano;1;m
Zehra;1;w
Valmir;1;m
Zehra-Gülderen;1;w
Vangelis;1;m
Zelal;1;w
Vigo;1;m
Zeyneb;1;w
Vince;1;m
Zoé-Janice;1;w
Walid;1;m
Ümmühan;1;w
Wiktor;1;m
Şizen-Mira;1;w
Willebrord;1;m
Willem;1;m
Wolfgang;1;m
Yannis;1;m
Yaser-Eymen;1;m
Yılmaz;1;m
Yunus;1;m
Yurttas;1;m
Yusa;1;m
Zerhan;1;m
Zian;1;m
Zinedin;1;m
Çınar;1;m
Živoin;1;m
